id,woe_id,latitude,longitude,perspective,created
51551581,698064,48.775636,9.162308,1,1365397425
51551579,2378824,40.74427,-73.998168,1,1365384381
51551575,23511009,42.371689,-71.113202,1,1365384299
37221939,2396288,40.728916,-73.990668,1,1365383029
37221930,28746217,40.677611,-73.991171,1,1365376789
37221921,2468432,40.683844,-73.985442,1,1365376747
37221903,28676779,-41.28646,174.776236,1,1365370445
51551569,28751175,40.686284,-73.987234,1,1365368708
51551565,2427367,40.870644,-73.918207,1,1365365771
51551563,20219877,40.425445,-3.709589,1,1365365345
51551561,2414423,40.731776,-73.952373,1,1365364518
37221894,23511835,40.682185,-74.000728,1,1365363754
51551555,23512025,37.788464,-122.413533,1,1365363040
37221885,2414423,40.722539,-73.942378,1,1365362568
37221876,-1,37.750692,-122.425221,1,1365362538
51551551,55864666,38.91362,-77.044919,0,1365361863
51551549,20089379,51.550112,-0.035914,1,1365361859
51551547,28751452,40.680066,-73.963088,1,1365361646
51551545,-1,40.684287,-73.992092,1,1365361627
37221867,28288887,30.191839,-97.793547,1,1365361439
